"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp","cal.date"
"1","21/04/2020",21,4,2020,4674,123,"Turkey","TR","TUR",82319724,"Asia",2020-04-21
"2","20/04/2020",20,4,2020,3977,127,"Turkey","TR","TUR",82319724,"Asia",2020-04-20
"3","19/04/2020",19,4,2020,3783,121,"Turkey","TR","TUR",82319724,"Asia",2020-04-19
"4","18/04/2020",18,4,2020,4353,126,"Turkey","TR","TUR",82319724,"Asia",2020-04-18
"5","17/04/2020",17,4,2020,4801,125,"Turkey","TR","TUR",82319724,"Asia",2020-04-17
"6","16/04/2020",16,4,2020,4281,115,"Turkey","TR","TUR",82319724,"Asia",2020-04-16
"7","15/04/2020",15,4,2020,4062,107,"Turkey","TR","TUR",82319724,"Asia",2020-04-15
"8","14/04/2020",14,4,2020,4093,98,"Turkey","TR","TUR",82319724,"Asia",2020-04-14
"9","13/04/2020",13,4,2020,4789,97,"Turkey","TR","TUR",82319724,"Asia",2020-04-13
"10","12/04/2020",12,4,2020,5138,95,"Turkey","TR","TUR",82319724,"Asia",2020-04-12
"11","11/04/2020",11,4,2020,4747,98,"Turkey","TR","TUR",82319724,"Asia",2020-04-11
"12","10/04/2020",10,4,2020,4056,96,"Turkey","TR","TUR",82319724,"Asia",2020-04-10
"13","09/04/2020",9,4,2020,4117,87,"Turkey","TR","TUR",82319724,"Asia",2020-04-09
"14","08/04/2020",8,4,2020,3892,76,"Turkey","TR","TUR",82319724,"Asia",2020-04-08
"15","07/04/2020",7,4,2020,3148,75,"Turkey","TR","TUR",82319724,"Asia",2020-04-07
"16","06/04/2020",6,4,2020,3135,73,"Turkey","TR","TUR",82319724,"Asia",2020-04-06
"17","05/04/2020",5,4,2020,3013,76,"Turkey","TR","TUR",82319724,"Asia",2020-04-05
"18","04/04/2020",4,4,2020,2786,69,"Turkey","TR","TUR",82319724,"Asia",2020-04-04
"19","03/04/2020",3,4,2020,2456,79,"Turkey","TR","TUR",82319724,"Asia",2020-04-03
"20","02/04/2020",2,4,2020,2148,63,"Turkey","TR","TUR",82319724,"Asia",2020-04-02
"21","01/04/2020",1,4,2020,2704,46,"Turkey","TR","TUR",82319724,"Asia",2020-04-01
"22","31/03/2020",31,3,2020,1610,37,"Turkey","TR","TUR",82319724,"Asia",2020-03-31
"23","30/03/2020",30,3,2020,1815,23,"Turkey","TR","TUR",82319724,"Asia",2020-03-30
"24","29/03/2020",29,3,2020,1704,16,"Turkey","TR","TUR",82319724,"Asia",2020-03-29
"25","28/03/2020",28,3,2020,2069,17,"Turkey","TR","TUR",82319724,"Asia",2020-03-28
"26","27/03/2020",27,3,2020,1196,16,"Turkey","TR","TUR",82319724,"Asia",2020-03-27
"27","26/03/2020",26,3,2020,561,15,"Turkey","TR","TUR",82319724,"Asia",2020-03-26
"28","25/03/2020",25,3,2020,343,7,"Turkey","TR","TUR",82319724,"Asia",2020-03-25
"29","24/03/2020",24,3,2020,293,7,"Turkey","TR","TUR",82319724,"Asia",2020-03-24
"30","23/03/2020",23,3,2020,289,9,"Turkey","TR","TUR",82319724,"Asia",2020-03-23
"31","22/03/2020",22,3,2020,277,12,"Turkey","TR","TUR",82319724,"Asia",2020-03-22
"32","21/03/2020",21,3,2020,311,5,"Turkey","TR","TUR",82319724,"Asia",2020-03-21
"33","20/03/2020",20,3,2020,168,3,"Turkey","TR","TUR",82319724,"Asia",2020-03-20
"34","19/03/2020",19,3,2020,93,1,"Turkey","TR","TUR",82319724,"Asia",2020-03-19
"35","18/03/2020",18,3,2020,51,0,"Turkey","TR","TUR",82319724,"Asia",2020-03-18
"36","17/03/2020",17,3,2020,29,0,"Turkey","TR","TUR",82319724,"Asia",2020-03-17
"37","16/03/2020",16,3,2020,16,0,"Turkey","TR","TUR",82319724,"Asia",2020-03-16
"38","13/03/2020",13,3,2020,1,0,"Turkey","TR","TUR",82319724,"Asia",2020-03-13
"39","12/03/2020",12,3,2020,1,0,"Turkey","TR","TUR",82319724,"Asia",2020-03-12
